"Date","Price","Open","High","Low","Vol.","Change %"
"09/22/2025","19,956.63","19,944.13","20,021.93","19,914.04","","0.06%"
"09/19/2025","19,944.13","19,794.23","19,946.14","19,722.04","","0.73%"
"09/18/2025","19,799.08","19,585.94","19,799.99","19,585.94","","1.09%"
"09/17/2025","19,586.46","19,646.05","19,709.04","19,585.38","","-0.30%"
"09/16/2025","19,646.32","19,597.06","19,749.70","19,596.76","","0.19%"
"09/15/2025","19,609.77","19,828.99","19,926.61","19,609.77","","-1.11%"
"09/12/2025","19,828.99","19,873.73","19,954.00","19,824.35","","-0.23%"
"09/11/2025","19,873.73","19,842.32","19,978.58","19,832.77","","0.16%"
"09/10/2025","19,842.32","19,521.30","19,903.16","19,521.30","","1.64%"
"09/09/2025","19,521.30","20,040.46","20,065.52","19,521.16","","-2.59%"
"09/08/2025","20,040.46","20,086.49","20,141.03","20,008.53","","-0.24%"
"09/04/2025","20,088.14","20,146.13","20,264.26","20,085.27","","-0.29%"
"09/03/2025","20,146.13","20,118.53","20,232.31","20,096.88","","0.14%"
"09/02/2025","20,118.53","20,071.84","20,170.55","19,993.50","","0.23%"
"09/01/2025","20,071.84","20,037.32","20,155.97","19,978.55","","0.08%"
"08/29/2025","20,054.88","20,138.22","20,223.06","20,042.19","","-0.41%"
"08/28/2025","20,138.22","20,233.50","20,340.23","20,133.01","","-0.47%"
"08/27/2025","20,233.50","20,064.60","20,237.01","20,052.64","","0.84%"
"08/26/2025","20,065.36","19,997.35","20,133.46","19,971.95","","0.34%"
"08/25/2025","19,997.35","19,979.97","20,035.16","19,786.28","","0.08%"
"08/22/2025","19,982.27","19,619.56","19,982.71","19,619.56","","1.85%"
"08/19/2025","19,619.56","19,745.09","19,747.35","19,619.47","","-0.64%"
"08/18/2025","19,745.09","19,845.09","19,846.77","19,721.94","","-0.50%"
"08/15/2025","19,845.09","19,858.63","19,953.35","19,792.00","","-0.07%"
"08/13/2025","19,858.63","19,883.67","19,967.91","19,845.14","","-0.13%"
"08/12/2025","19,883.67","19,843.44","19,926.99","19,828.76","","0.20%"
"08/11/2025","19,843.44","19,818.76","19,967.73","19,818.24","","0.12%"
"08/08/2025","19,818.76","19,779.01","19,915.16","19,779.01","","0.20%"
"08/07/2025","19,779.01","19,684.96","19,839.15","19,680.71","","0.48%"
"08/06/2025","19,684.96","19,575.76","19,689.89","19,567.69","","0.56%"
